sku_id,historical_avg_sales,historical_std_sales,historical_max_sales,last_processed_date,rmse,mape,wape,accuracy,final_forecast_model_type,tuned_prophet_rmse,tuned_prophet_mape,tuned_prophet_wape,tuned_prophet_accuracy,lstm_rmse,lstm_mape,lstm_wape,lstm_accuracy,xgboost_rmse,xgboost_mape,xgboost_wape,xgboost_accuracy,top_features,top_importances,avg_lead_time,lead_time_demand,safety_stock,reorder_point,validated_eoq,holding_cost,ordering_cost,forecast_next_1_month,forecast_next_3_months,forecast_next_6_months,forecast_ci_width_1_month,forecast_ci_width_3_months
R084,2.300341296928328,1.7621662488101817,8.5,2025-05-28,2.053078314457937,71.04674839425942,45.164687895063,54.835312104937,Ensemble,2.017250352088074,66.24658341295074,43.65132691843143,56.34867308156857,2.0513147720517386,73.66901299644645,46.13561888187252,53.86438111812748,2.4111095595184846,77.30975669887702,50.36242489229169,49.63757510770831,"['rolling_avg_sales_7d', 'sales_lag_1d', 'is_on_promotion', 'discount_percentage', 'rolling_std_sales_7d']","[0.25202178955078125, 0.14826016128063202, 0.13078469038009644, 0.07126577198505402, 0.05280669406056404]",21,70,13,83,85,"188,925.87",465.68,104.74925366998968,314.03715641589736,610.2097532837199,3.4659251908365047,3.474470817060438
BR0482,1.8333333333333333,1.1635440848262983,6.0,2025-05-28,1.1470806234559163,63.35086168150402,48.61218786602984,51.387812133970165,Ensemble,1.255987444186864,73.64765232709362,53.9292492755943,46.0707507244057,1.312642026205968,71.70865142964217,56.596026053536406,43.4039739464636,1.1479614446870925,54.27487197311594,44.79845378358485,55.20154621641515,"['sales_lag_1d', 'discount_percentage', 'rolling_std_sales_7d', 'sales_lag_7d', 'is_month_end']","[0.444324791431427, 0.10760927200317383, 0.06105298921465874, 0.05074210837483406, 0.046131741255521774]",21,41,9,50,65,"361,454.59","1,526.77",59.58107831163209,180.7007917011624,356.08880061566254,2.306584446971337,2.297473979433461
ER0175,1.32212086659065,0.6364598270248357,3.5,2025-05-26,0.5604054876553974,35.054338700642234,32.796233089418855,67.20376691058115,Ensemble,0.6746971791592076,40.22162646359728,38.594928845964255,61.40507115403575,0.9192864970346424,59.74050748825231,54.46885029474894,45.53114970525106,0.4520057377384018,24.543428286673528,24.469313984028776,75.53068601597123,"['sales_lag_1d', 'discount_percentage', 'month_cos', 'is_month_end', 'rolling_std_sales_7d']","[0.5239810943603516, 0.13481104373931885, 0.04498885199427605, 0.04237319529056549, 0.038470517843961716]",21,34,5,39,60,"69,090.04",346.52,49.09762407922314,149.4740941645631,299.892849954905,1.1453951142930423,1.143604356501918
ER01118,2.4666856492027334,2.635874410946862,12.25,2025-05-27,2.340540371412759,62.35606015013466,41.9036437321519,58.0963562678481,Ensemble,2.394123706133356,68.98157792973026,46.38014831711948,53.61985168288052,2.37483057897128,65.65427535833098,42.63762802936947,57.36237197063053,2.5534043689153814,63.88642000885315,47.90398811933546,52.09601188066454,"['sales_lag_1d', 'rolling_std_sales_7d', 'rolling_avg_sales_7d', 'is_month_end', 'discount_percentage']","[0.43179911375045776, 0.1820332407951355, 0.15231555700302124, 0.04376818612217903, 0.04373302310705185]",21,70,20,90,86,"141,934.84",347.77,93.92634168560322,303.9677391026314,613.862268730286,3.705791342709768,3.703642143085284
ER0223,2.579726651480638,1.7095855073545765,8.5,2025-05-27,1.65456695391349,52.032533633780176,34.93180525839008,65.06819474160991,Ensemble,1.861994641261675,51.79209535423372,41.022666329871306,58.97733367012869,1.845574205415971,66.83468270408495,42.13482648598856,57.865173514011445,1.665074340721483,50.9941146638017,33.71560100988715,66.28439899011285,"['sales_lag_1d', 'is_on_promotion', 'rolling_avg_sales_7d', 'discount_percentage', 'rolling_std_sales_7d']","[0.34410372376441956, 0.08468640595674515, 0.0735844075679779, 0.07278648018836975, 0.059410132467746735]",21,64,13,77,82,"255,744.26",685.13,86.56589419192895,278.0987809802953,561.4481069433177,3.424410790095956,3.4371013824594496
PD0572,1.653014789533561,0.8083444648046832,3.5,2025-05-28,0.8103954534317526,31.45585980466033,29.91830610411139,70.0816938958886,Ensemble,0.9297456470044596,38.318960272344185,35.154160593786784,64.84583940621322,1.043924637428899,43.37711724804888,40.25742222172345,59.74257777827655,0.7078156043234677,22.61947924575665,23.381978473614044,76.61802152638596,"['sales_lag_1d', 'is_on_promotion', 'discount_percentage', 'rolling_std_sales_7d', 'sales_lag_14d']","[0.30314189195632935, 0.22290904819965363, 0.09032509475946426, 0.04600146785378456, 0.04366873949766159]",21,34,6,40,60,"84,407.28",428.77,48.7542695227941,150.7009580411249,296.1008743286591,1.6864351377680438,1.6828969704974504
ER01308,1.0,0.0,1.0,2024-03-23,5.000008687431023e-11,4.5582500736903374e-09,4.5582500736903374e-09,99.99999999544175,Ensemble,0.0,0.0,0.0,100.0,0.0056367945815742,0.5138772741581003,0.5138772741581003,99.4861227258419,0.0,0.0,0.0,100.0,"['store_count', 'was_stocked_out', 'day_of_week_sin', 'day_of_week_cos', 'month_sin']","[0.0, 0.0, 0.0, 0.0, 0.0]",21,21,0,21,47,"52,004.25",427.43,29.999999999358664,89.99999999710012,182.9999999970389,2.689108757891744e-09,4.58967335371775e-09
TR090,1.1505736137667304,0.3931725458044934,3.5,2024-06-06,0.0238381256430874,2.17576592021383,2.17576592021383,97.82423407978617,Ensemble,0.3284457452076182,31.256050678532493,31.256050678532493,68.74394932146751,0.0447432081932478,3.765244340368857,3.765244340368857,96.23475565963116,0.0249050789965651,0.8599936962127686,0.8599936962127686,99.14000630378725,"['sales_lag_1d', 'discount_percentage', 'rolling_std_sales_7d', 'store_count', 'is_on_promotion']","[0.4665082097053528, 0.15740294754505157, 0.11795634776353836, 0.07769918441772461, 0.03530307114124298]",21,23,3,26,49,"44,636.33",339.60,30.53357051010654,95.65898452465925,197.6994828756534,0.7158087798704997,0.7168274085141902
PD0551,1.0,0.0,1.0,2024-06-04,4.999994536656794e-11,4.419602091706072e-09,4.419602091706072e-09,99.9999999955804,Ensemble,0.0,0.0,0.0,100.0,0.0013527330831144,0.1195709748814503,0.1195709748814503,99.88042902511854,0.0,0.0,0.0,100.0,"['store_count', 'was_stocked_out', 'day_of_week_sin', 'day_of_week_cos', 'month_sin']","[0.0, 0.0, 0.0, 0.0, 0.0]",21,21,0,21,47,"66,251.05",544.53,29.9999999967513,90.00000000486216,183.000000055437,2.659871016034524e-09,4.137040987561846e-09
PD003,5.895335608646189,5.06437348051905,17.0,2025-05-28,2.922201307478075,61.725635195063866,46.02801992083532,53.97198007916468,Ensemble,3.706591434411765,62.6184056548734,58.46338763678271,41.53661236321729,2.8766282782583827,63.81319079109691,44.73287912794336,55.26712087205664,3.109533471499401,75.0029849025116,49.872037055917865,50.127962944082135,"['rolling_avg_sales_7d', 'discount_percentage', 'rolling_std_sales_7d', 'sales_lag_1d', 'month_sin']","[0.44400525093078613, 0.10360795259475708, 0.0765901729464531, 0.06659228354692459, 0.04081541672348976]",21,109,38,148,107,"322,749.32",509.53,137.83924255611907,439.9418172160092,952.7434179570736,8.416330643154168,8.394469680534382
