ds,yhat,yhat_lower,yhat_upper,sku_id
2025-05-29,3.5448323966643422,1.7205751612098332,5.192304336778197,R084
2025-05-30,3.5012247835352386,1.782501067082973,5.252898048307249,R084
2025-05-31,3.495051606859845,1.7509541790317693,5.121279015566541,R084
2025-06-01,3.532671381130678,2.094084529635,5.656850297688711,R084
2025-06-02,3.437501641558023,1.6074781500285171,5.072282014526724,R084
2025-06-03,3.611595972768839,1.6829239568077003,5.21575868664613,R084
2025-06-04,3.4402995954362794,1.5709100178371609,5.068681749097361,R084
2025-06-05,3.5037163222886525,1.7454702311091608,5.10668075026365,R084
2025-06-06,3.4877059262358205,1.7230519417377197,5.399867789926614,R084
2025-06-07,3.429084955064486,1.8339511078101047,5.20222970394931,R084
2025-06-08,3.7591666689088648,2.0282721163006068,5.439136990201064,R084
2025-06-09,3.767428929517121,1.514502517857906,4.998597845127158,R084
2025-06-10,3.593759237175939,1.830562067500924,5.326226850458545,R084
2025-06-11,3.443944913764022,1.583719672590263,5.050748803500298,R084
2025-06-12,3.460322362978105,1.7460458038686484,5.134656473522775,R084
2025-06-13,3.384799123504082,1.9881755866171733,5.302427761787331,R084
2025-06-14,3.363167595502341,1.9621040579145983,5.326181428094988,R084
2025-06-15,3.433433886505196,2.0464291197559,5.438135874994563,R084
2025-06-16,3.368165145020885,1.6703286327405098,5.118768070789284,R084
2025-06-17,3.469255155198928,1.7628720043395416,5.436384117513123,R084
2025-06-18,3.3843714695459024,1.6012212835170692,5.184920485217185,R084
2025-06-19,3.3734517544334945,1.8210259576315853,5.343419976855364,R084
2025-06-20,3.436420568473795,1.9967134553786248,5.438778652295593,R084
2025-06-21,3.400245312517513,1.9114612635769417,5.453424137499376,R084
2025-06-22,3.492013826449994,2.235115846927504,5.7140166266916586,R084
2025-06-23,3.445942244345148,1.7427740729342676,5.31041336302424,R084
2025-06-24,3.6299534843198975,1.9713309017443847,5.421075686719248,R084
2025-06-25,3.509545252463588,1.8560735973782367,5.280007316490721,R084
2025-06-26,3.553044230481876,2.0947300243178453,5.4338062182660085,R084
2025-06-27,3.497137927340785,2.1329905744556497,5.5461455529342425,R084
2025-06-28,3.4950718733190023,2.1226600104980484,5.70883667491749,R084
2025-06-29,3.560450576326767,2.40393113614508,5.962965533476925,R084
2025-06-30,3.419651323029434,1.9103221569365307,5.436156943019888,R084
2025-07-01,3.50169996025918,2.221342819741796,5.797914667871171,R084
2025-07-02,3.42366318647999,1.881643627155292,5.288320417456406,R084
2025-07-03,3.5358005215485724,2.066703315689081,5.719395157343726,R084
2025-07-04,3.475870210388028,2.267606326172912,5.812827225827625,R084
2025-07-05,3.531960255202326,2.2746386246428165,5.73586677840386,R084
2025-07-06,3.911192359818629,2.450979054056325,5.828830071022287,R084
2025-07-07,3.822834480846944,2.050823530170921,5.404542916593607,R084
2025-07-08,3.607800913635241,2.0334026382252763,5.655427893026569,R084
2025-07-09,3.518813681239884,2.002526341915324,5.4616219828349095,R084
2025-07-10,3.5373462944899425,2.103219317166704,5.5130723674284665,R084
2025-07-11,3.46793092925416,2.0030987730742487,5.660000606185436,R084
2025-07-12,3.4583726740006657,2.185124695511906,5.659751879906641,R084
2025-07-13,3.504850625844661,2.392059074343074,5.893473752626581,R084
2025-07-14,3.3791307648380524,1.9219931692933088,5.400234845331026,R084
2025-07-15,3.481917403029942,1.9884231421056324,5.515492523545325,R084
2025-07-16,3.381221041940784,1.901711702495388,5.218311531995014,R084
2025-07-17,3.3912866034656144,1.9305722000048129,5.469234418934105,R084
2025-07-18,3.386193254719897,1.967343108169174,5.341407723349255,R084
2025-07-19,3.362319536968768,2.0755197935384966,5.520403192818025,R084
2025-07-20,3.59001797006803,2.1095083273627893,5.64357688236253,R084
2025-07-21,3.7027069669933663,1.7821905854301914,5.27491936021118,R084
2025-07-22,3.550688706405383,1.7820419970398045,5.32243385467596,R084
2025-07-23,3.348117312522992,1.6868419681734568,5.212452855905974,R084
2025-07-24,3.445817061381349,1.9314777560284324,5.4202966193055655,R084
2025-07-25,3.415586177055822,2.042225258546936,5.464247169419729,R084
2025-07-26,3.4382912509878976,2.0701248908134326,5.532801654162864,R084
2025-07-27,3.461733418967149,2.3774509925530403,5.803760172058593,R084
2025-07-28,3.39291605083566,1.855636062352925,5.412871271881663,R084
2025-07-29,3.525250461747308,2.0753700214938244,5.509187131228453,R084
2025-07-30,3.394125227972343,1.714523691460829,5.324842202224907,R084
2025-07-31,3.4803879522749925,2.0641373764130777,5.613575069004357,R084
2025-08-01,3.433997992516977,2.1904813275259056,5.644870124156823,R084
2025-08-02,3.515157818997781,2.2751294517516643,5.545135360746797,R084
2025-08-03,3.831096955807405,2.548522175511072,5.99464331977431,R084
2025-08-04,3.693777463920621,2.0542694564015123,5.583325766220257,R084
2025-08-05,3.6566309521068137,2.2447020198573937,5.682272001214697,R084
2025-08-06,3.493393399087614,2.101047853230266,5.466482630282804,R084
2025-08-07,3.496868158404255,2.220734146070581,5.659003774159287,R084
2025-08-08,3.510471268415826,2.300844641347551,5.761261974061232,R084
2025-08-09,3.533958414162184,2.298764194884324,5.855779527398286,R084
2025-08-10,3.5514869512063925,2.698484390799284,6.115730349918833,R084
2025-08-11,3.454815938409588,2.107698434316104,5.595690209613427,R084
2025-08-12,3.5433447059849605,2.23143241560831,5.706952182254247,R084
2025-08-13,3.4329150568290654,2.0724779642689444,5.387152553784085,R084
2025-08-14,3.421718773540195,2.033333095893876,5.552524383849774,R084
2025-08-15,3.404505113170348,2.193744881676748,5.746963055377666,R084
